country_code,country,region,population,pop_density,GDP,epi_score,sdg_index
AFG,Afghanistan,Asia,34.656032,53.08340532,60.28705023,37.74,46.8
ALB,Albania,Eastern Europe & Eurasia,2.876101,104.9671898,32.66991645,65.46,68.9
DZA,Algeria,Mid East & North Africa,40.606052,17.04889491,565.284,57.18,68.8
AGO,Angola,Sub-Saharan Africa,28.813463,23.11178551,172.438,37.44,50.2
ATG,Antigua and Barbuda,Caribbean,0.100963,229.4613636,2.121537299,59.18,-9999
ARG,Argentina,Latin America,43.84743,16.0220668,810.714,59.3,72.5
ARM,Armenia,Eastern Europe & Eurasia,2.924816,102.7332631,23.95494292,62.07,71.7
AUS,Australia,Pacific,24.127159,3.140616612,1071.58,74.12,75.9
AUT,Austria,Europe & North America,8.747358,105.9990306,388.015,78.97,81.4
AZE,Azerbaijan,Eastern Europe & Eurasia,9.762274,118.0972624,156.138,62.33,70.8
BHS,Bahamas,Caribbean,0.391232,39.08411588,8.168481869,54.99,-9999
BHR,Bahrain,Mid East & North Africa,1.425171,1848.470817,64.33731963,55.15,64.6
BGD,Bangladesh,Asia,162.95156,1251.836521,540.894,29.56,56.2
BRB,Barbados,Caribbean,0.284996,662.7813953,4.773832887,55.76,66
BLR,Belarus,Eastern Europe & Eurasia,9.50712,46.8538761,159.171,64.98,77.1
BEL,Belgium,Europe & North America,11.348159,374.7740753,477.288,77.38,80
BLZ,Belize,Latin America,0.366954,16.0874178,2.879126894,57.79,66
BEN,Benin,Sub-Saharan Africa,10.872298,96.41981199,21.85289913,38.17,49.5
BTN,Bhutan,Asia,0.797765,20.92937534,6.584188915,47.22,65.5
BOL,Bolivia,Latin America,10.887882,10.05066187,73.03543539,55.98,64.7
BIH,Bosnia and Herzegovina,Eastern Europe & Eurasia,3.516816,68.6878125,39.8364244,41.84,65.5
BWA,Botswana,Sub-Saharan Africa,2.25026,3.970603286,35.38137144,51.7,58.3
BRA,Brazil,Latin America,207.652865,24.84438703,2912.06,60.7,69.5
BRN,Brunei Darussalam,Asia,0.423196,80.3028463,30.38072591,63.57,-9999
BGR,Bulgaria,Eastern Europe & Eurasia,7.127822,65.65790346,126.835,67.85,72.5
BFA,Burkina Faso,Sub-Saharan Africa,18.646433,68.1521674,30.62090813,42.83,49.9
BDI,Burundi,Sub-Saharan Africa,10.524117,409.8176402,7.589746511,27.43,51.8
CIV,C̫te d'Ivoire,Sub-Saharan Africa,23.695919,74.51546855,81.15293531,45.25,53.3
CPV,Cabo Verde,Sub-Saharan Africa,0.53956,133.8858561,3.277694564,56.94,-9999
KHM,Cambodia,Asia,15.76237,89.29509404,54.61859125,43.23,58.2
CMR,Cameroon,Sub-Saharan Africa,23.439189,49.58471156,78.44669479,40.81,52.8
CAN,Canada,Europe & North America,36.286425,3.990365107,1563.5,72.18,78
CAF,Central African Republic,Sub-Saharan Africa,4.594621,7.375230344,2.976765097,36.42,36.7
TCD,Chad,Sub-Saharan Africa,14.452543,11.47755956,26.67816128,45.34,41.5
CHL,Chile,Latin America,17.909754,24.08740175,406.672,57.49,71.6
CHN,China,Asia,1378.665,146.850662,19852,50.74,67.1
COL,Colombia,Latin America,48.653419,43.85166201,638.543,65.22,64.8
COM,Comoros,Sub-Saharan Africa,0.795601,427.5126276,1.122714212,44.24,-9999
CRI,Costa Rica,Latin America,4.857274,95.12875049,74.8092691,67.85,69.8
HRV,Croatia,Eastern Europe & Eurasia,4.1706,74.52823445,89.86469266,65.45,76.9
CUB,Cuba,Caribbean,11.475982,110.3247645,239.3704429,63.42,75.5
CYP,Cyprus,Europe & North America,1.170125,126.6369048,26.68059236,72.6,70.6
CZE,Czech Republic,Eastern Europe & Eurasia,10.561633,136.7909986,331.137,67.68,81.9
COD,Dem. Rep. Congo,Sub-Saharan Africa,78.736153,34.73066452,58.57137876,30.41,42.7
DNK,Denmark,Europe & North America,5.731118,135.6092471,263.438,81.6,84.2
DJI,Djibouti,Sub-Saharan Africa,0.942333,40.65284728,3.178944562,40.04,49.6
DMA,Dominica,Caribbean,0.073543,98.05733333,0.746560183,59.38,-9999
DOM,Dominican Republic,Caribbean,10.648791,220.4262265,150.136,64.71,67.2
ECU,Ecuador,Latin America,16.385068,65.97305524,170.802,57.42,69
EGY,Egypt,Mid East & North Africa,95.688681,96.12605455,987.436,61.21,64.9
SLV,El Salvador,Latin America,6.344722,306.2124517,50.69431137,53.91,62.9
GNQ,Equatorial Guinea,Sub-Saharan Africa,1.22149,43.54688057,29.51428575,60.4,-9999
ERI,Eritrea,Sub-Saharan Africa,6.975,69.05940594,7.795960491,39.34,-9999
EST,Estonia,Eastern Europe & Eurasia,1.316481,31.05640481,36.98661617,64.31,78.6
ETH,Ethiopia,Sub-Saharan Africa,102.403196,102.403196,164.694,44.78,53.5
FJI,Fiji,Pacific,0.89876,49.19321292,7.592063187,53.09,-9999
FIN,Finland,Europe & North America,5.495096,18.0825167,217.183,78.64,84
FRA,France,Europe & North America,66.896109,122.1719547,2545.99,83.95,80.3
GAB,Gabon,Sub-Saharan Africa,1.979786,7.683416773,33.23268922,45.05,65.1
GMB,Gambia,Sub-Saharan Africa,2.038501,201.4329051,3.169632857,42.42,47.8
GEO,Georgia,Eastern Europe & Eurasia,3.7193,64.96028552,34.50307669,55.69,68.6
DEU,Germany,Europe & North America,82.667685,236.9380482,3658.9,78.37,81.7
GHA,Ghana,Sub-Saharan Africa,28.206728,123.9638217,112.268,49.66,59.9
GRC,Greece,Europe & North America,10.74674,83.37269201,260.905,73.6,72.9
GRD,Grenada,Caribbean,0.107317,315.6382353,1.413048536,50.93,-9999
GTM,Guatemala,Latin America,16.582469,154.7449515,122.159,52.33,58.3
GIN,Guinea,Sub-Saharan Africa,12.395924,50.44735471,22.60196905,46.62,48.8
GNB,Guinea-Bissau,Sub-Saharan Africa,1.815698,64.56963016,2.708443938,44.67,-9999
GUY,Guyana,Latin America,0.773303,3.928387097,5.619078875,47.93,64.7
HTI,Haiti,Caribbean,10.847334,393.5897678,17.94107659,33.74,44.1
